    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update 
"Dr. Roger I. Erro, M.D.",,510 West Lehigh Avenue,,Philadelphia,PA,19133,,PHILADELPHIA,215-291-9371,,,,,39.9919,-75.1407,BUPREN,
"Dr. Orlando  Matiz, M.D.",,2001 Hamilton Street,Apt 1928,Philadelphia,PA,19130,,PHILADELPHIA,215-917-8202,,,,,39.9627,-75.1712,BUPREN,
"Dr. Maya  Tsysina, M.D.",,11726 Bustleton Avenue,,Philadelphia,PA,19116,,PHILADELPHIA,215-677-0501,,,,,40.1196,-75.0176,BUPREN,
"Dr. Zoya  Berenson, M.D.",,10890 Bustleton Avenue,Suite 103,Philadelphia,PA,19116,,PHILADELPHIA,215-464-6104,,,,,40.1111,-75.0248,BUPREN,
"Dr. John Philip Leichner, M.D.",,10890 Bustleton Avenue,Suite 103,Philadelphia,PA,19116,,PHILADELPHIA,215-464-6104,,,,,40.1111,-75.0248,BUPREN,
"Dr. Manan  Patel, M.D.",,10184 Verree Road,,Philadelphia,PA,19116,,PHILADELPHIA,215-934-6665,,,,,40.1082,-75.027,BUPREN,
"Dr. Michael J. McCarthy, M.D.",,"2400 Chestnut Street, Suite 1409",,Philadelphia,PA,19103,,PHILADELPHIA,215-567-4773,,,,,39.9525,-75.1797,BUPREN,
"Dr. Jan Neil Widerman, D.O.",,10800 Bustleton Avenue,,Philadelphia,PA,19116,,PHILADELPHIA,215-969-6277,,,,,40.1104,-75.0248,BUPREN,
"Dr. Alberto J. Larrieu, M.D.",,10800 Bustleton Avenue,,Philadelphia,PA,19154,,PHILADELPHIA,215-934-6777,,,,,40.11,-75.0251,BUPREN,
"Dr. Sheldon None Lebovitz, D.O.",,10800 Bustelton Avenue,,Philadelphia,PA,19116,,PHILADELPHIA,215-934-6777,,,,,40.11,-75.0251,BUPREN,
" Raoul  Biniaurishvili, ",,11685 Bustleton Avenue,,Philadelphia,PA,19116,,PHILADELPHIA,215-464-7820,,,,,40.1183,-75.0177,BUPREN,
"Dr. Maurice  Singer, D.O.",,10663 Bustleton Avenue,,Philadelphia,PA,19116,,PHILADELPHIA,215-676-3336,,,,,40.1088,-75.0254,BUPREN,
"Dr. Joseph Michael Garbely, D.O.",,Friends Hospital,4641 Roosevelt Boulevard,Philadelphia,PA,19124,,PHILADELPHIA,215-831-4600,,,,,40.0265,-75.1022,BUPREN,
"Dr. Sandy D. Melnick, ",,Friends Hospital,4641 Roosevelt Boulevard,Philadelphia,PA,19124,,PHILADELPHIA,215-219-1699,,,,,40.0265,-75.1022,BUPREN,
"Dr. Isiaka Abayomi Bolarinwa, M.D.",,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,,PHILADELPHIA,856-237-3596,,,,,40.0265,-75.1022,BUPREN,
"Dr. Deepraj  Singh, M.D.",,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,,PHILADELPHIA,215-831-2600,,,,,40.0265,-75.1022,BUPREN,
" Michael Alan Ashburn, ",,Penn Pain Medicine Center,1840 South Street,Philadelphia,PA,19146,,PHILADELPHIA,215-893-7251,,,,,39.9396,-75.1866,BUPREN,
" Lauren  Sylvina, PA",,1400 Spring Garden Street,Apt # 509,Philadelphia,PA,19130,,PHILADELPHIA,,,,,,39.962,-75.1622,BUPREN,
"Dr. Stanley  Boos, M.D.",,2001 Oakmount Street,,Philadelphia,PA,19122,,PHILADELPHIA,215-745-5577,,,,,39.9776,-75.1457,BUPREN,
"Dr. Michael A. Ziev, D.O.",,1800 Fox Chase Road,,Philadelphia,PA,19152,,PHILADELPHIA,215-745-0300,,,,,40.069,-75.0548,BUPREN,
"Dr. Felix  Salzberg, M.D.",,1701 Grant Avenue,,Philadelphia,PA,19115,,PHILADELPHIA,215-464-3838,,,,,40.086,-75.0383,BUPREN,
"Dr. Thomas Arthur Monahan, D.O.",,North Philadelphia Health System,801 Girard Avenue,Philadelphia,PA,19122,,PHILADELPHIA,215-787-2070,,,,,39.9711,-75.1496,BUPREN,
"Dr. David James Vearrier, M.D.",,245 North 15th Street,"Suite #2108, MS#1011",Philadelphia,PA,19102,,PHILADELPHIA,215-762-2368,,,,,39.9576,-75.1637,BUPREN,
"Dr. Steven  Mills, M.D.",,North Philadelphia Health System,"Goldman Clinic, 8th St and Girard Avenue",Philadelphia,PA,19122,,PHILADELPHIA,215-787-2000,,,,,39.9706,-75.1499,BUPREN,
"Dr. Lilia  Gorovits, M.D.",,9867 Bustletoll Avenue,,Philadelphia,PA,19115,,PHILADELPHIA,215-698-9295,,,,,40.0924,-75.0309,BUPREN,
"Dr. Frank Alfred Kunkel, M.D.",,Two Penn Center,Suite 200,Philadelphia,PA,19102,,PHILADELPHIA,724-591-5236,,,,,39.9551,-75.1658,BUPREN,
"Dr. Ben Peter Jagiello, M.D.",,Two Penn Center,Suite 200,Philadelphia,PA,19102,,PHILADELPHIA,724-591-5236,,,,,39.9551,-75.1658,BUPREN,
"Dr. Carla  Rodgers, M.D.",,Two Penn Center,Suite 200,Philadelphia,PA,19102,,PHILADELPHIA,724-591-5236,,,,,39.9551,-75.1658,BUPREN,
"Dr. Jon Andrew Shapiro, M.D.",,1401 Vine Street,7th Floor,Philadelphia,PA,19102,,PHILADELPHIA,724-591-5236,,,,,39.9578,-75.1628,BUPREN,
"Dr. Damien J Croft, M.D.",,"Drexel University College of Medicine, Department of OB/GYN, Mail Stop 495",245 N. 15th Street,Philadelphia,PA,19102,,PHILADELPHIA,215-762-1838,,,,,39.9556,-75.1648,BUPREN,
"Dr. Donald John Kushon, M.D.",,Hahnemann Hospital,"17306 Ncb, Ms 403",Philadelphia,PA,19102,,PHILADELPHIA,215-762-1866,,,,,39.9556,-75.1648,BUPREN,
"Dr. Thomas Joseph McGrath, M.D.",,"201 South 18th Street, Apt 1809",,Philadelphia,PA,19103,,PHILADELPHIA,215-275-5432,,,,,39.95,-75.1705,BUPREN,
"Dr. John J. Bowden, Jr., D.O.",,205 North Broad Street,Suite 500,Philadelphia,PA,19107,,PHILADELPHIA,215-548-3390,,,,,39.9564,-75.1623,BUPREN,
"Dr. John Everett Crews, III, M.D.",,7720 Castor Avenue,,Philadelphia,PA,19152,,PHILADELPHIA,215-722-7800,,,,,40.0581,-75.06,BUPREN,
"Dr. Thomas Victor Falone, D.O.",,JFK Community Mental Health Drug,112 North Broad Street,Philadelphia,PA,19102,,PHILADELPHIA,856-423-4859,,,,,39.955,-75.1634,BUPREN,
" Inessa  Biniaurishvili-Elison, ",,11685-C Bustleton Avenue,Hendrix Center,Philadelphia,PA,19116,,PHILADELPHIA,215-464-7820,,,,,40.1145,-75.0085,BUPREN,
"Dr. David M. Barclay, III, M.D.",,1601 Walnut Street,Suite 208,Philadelphia,PA,19102,,PHILADELPHIA,215-988-9824,,,,,39.95,-75.1677,BUPREN,
"Dr. Michael D. Miller, M.D.",,255 South 17th Street,Suite 1410,Philadelphia,PA,19103,,PHILADELPHIA,215-545-8450,,,,,39.9482,-75.1693,BUPREN,
"Dr. Christopher Justin Pagnani, M.D.",,1528 Walnut Street,Suite 2005,Philadelphia,PA,19102,,PHILADELPHIA,267-687-2032,,,,,39.9495,-75.1673,BUPREN,
"Dr. Charles  Dackis, M.D.",,1414 SOUTH PENN SQUARE 16F,,PHILADELPHIA,PA,19102,,PHILADELPHIA,609-744-9807,,,,,39.9516,-75.165,BUPREN,
"Dr. Richard M. Sobel, M.D.",,1500 Walnut Street,Suite 902,Philadelphia,PA,19102,,PHILADELPHIA,215-731-1901,,,,,39.9493,-75.1662,BUPREN,
"Dr. Elizabeth  Liveright, M.D.",,833 Chestnut Street,Concourse Level,Philadelphia,PA,19107,,PHILADELPHIA,215-955-5000,,,,,39.9559,-75.1575,BUPREN,
"Dr. Richard A. Stefanic, ",,Rossi Wellness Center,"822 Pine Street, Suite LL1",Philadelphia,PA,19107,,PHILADELPHIA,267-519-2174,,,,,39.9559,-75.1575,BUPREN,
" Meredith Taylor McClure, NP",,321 W Girard Avenue,,Philadelphia,PA,19123,,PHILADELPHIA,215-685-3803,,,,,39.9701,-75.1418,BUPREN,
"Dr. John  Koleth, M.D.",,Hispanic Community Counselling Services,3156 Kensington Avenue,Philadelphia,PA,19134,,PHILADELPHIA,215-203-3000,,,,,39.9963,-75.1143,BUPREN,
"Dr. Gary D. Yeoman, D.O.",,Founders Medical Practice,"7901 Bustleton Avenue, Suite 201",Philadelphia,PA,19152,,PHILADELPHIA,215-831-9110,,,,,40.0566,-75.0529,BUPREN,
"Dr. Howard Stanley Wenocur, M.D.",,7901 Bustleton Avenue,Suite 201,Philadelphia,PA,19152,,PHILADELPHIA,215-831-9110,,,,,40.0566,-75.0529,BUPREN,
"Dr. Helen Carol Koenig, M.D.",,Philadelphia FIGHT,"1233 Locust Street, 5th floor",Philadelphia,PA,19107,,PHILADELPHIA,215-790-1788,,,,,39.9481,-75.1618,BUPREN,
"Dr. Laura Phillips Bamford, M.D.",,1233 Locust Street,5th Floor,Philadelphia,PA,19104,,PHILADELPHIA,215-790-1788,,,,,39.9481,-75.1618,BUPREN,
"Dr. Karam C Mounzer, M.D.",,1233 Locust Street,,Philadelphia,PA,19107,,PHILADELPHIA,215-790-1788,,,,,39.9481,-75.1618,BUPREN,
" Sarah Elizabeth Smith, PA",,1233 Locust Street,,Philadelphia,PA,19107,,PHILADELPHIA,215-985-4448,,,,,39.9481,-75.1618,BUPREN,
" Angel S. Angelov, ",,TJUH Dept. of Psychiatry,"1652 Thompson Bldg, 1020 Sansom Street",Philadelphia,PA,19107,,PHILADELPHIA,215-955-5308,,,,,39.9497,-75.1574,BUPREN,
"Dr. Alla  Fine, M.D.",,6404 Roosevelt Boulevard,Suite 1C,Philadelphia,PA,19149,,PHILADELPHIA,215-850-7723,,,,,40.0358,-75.0697,BUPREN,
"Dr. Donald F. Turner, D.O.",,1309-1311 South Street,,Philadelphia,PA,19147,,PHILADELPHIA,215-985-1916,,,,,39.9436,-75.1637,BUPREN,
" Erica  Molaro, PA",,9815 Roosevelt Boulevard,Unit J,Philadelphia,PA,19114,,PHILADELPHIA,888-985-2727,,,,,40.0857,-75.0221,BUPREN,
"Dr. Nathaniel  Abramson, D.O.",,3200 Frankford Avenue,,Philadelphia,PA,19134,,PHILADELPHIA,215-331-2112,,,,,39.9932,-75.1102,BUPREN,
"Dr. Basant Kumar Pradhan, M.D.",,833 Chestnut Street,Suite 210,Philadelphia,PA,19107,,PHILADELPHIA,732-742-3180,,,,,39.9501,-75.1549,BUPREN,
"Dr. William Christopher Jangro, M.D.",,833 Chestnut Street,Suite 210,Philadelphia,PA,19107,,PHILADELPHIA,215-955-6592,,,,,39.9501,-75.1549,BUPREN,
"Dr. Jessica  Mosier, M.D.",,833 Chestnut Street,Suite 210,Philadelphia,PA,19107,,PHILADELPHIA,215-955-8420,,,,,39.9501,-75.1549,BUPREN,
"Dr. Nicole Andrea Matthews, D.O.",,833 Chestnut Street,Suite 210,Philadelphia,PA,19107,,PHILADELPHIA,215-416-7607,,,,,39.9501,-75.1549,BUPREN,
"Dr. Marna  Sternbach, M.D.",,833 Chestnut Street,,Philadelphia,PA,19107,,PHILADELPHIA,215-955-0429,,,,,39.9501,-75.1549,BUPREN,
"Dr. Ronald  Serota, M.D.",,833 Chestnut Street,1233 locust street,Philadelphia,PA,19107,,PHILADELPHIA,215-955-2542,,,,,39.9499,-75.155,BUPREN,
"Dr. Jonathan A. Beatty, M.D.",,407 South 10th Street,,Philadelphia,PA,19147,,PHILADELPHIA,610-639-1117,,,,,39.9444,-75.1581,BUPREN,
"Dr. Liudmila  Lobach, M.D.",,2628 Welsh Road 108,,Philadelphia,PA,19152,,PHILADELPHIA,267-974-0718,,,,,40.0701,-75.0318,BUPREN,
"Dr. Roman  Dykyj, Jr, M.D.",,8151 Revere Street,,Philadelphia,PA,19152,,PHILADELPHIA,215-624-3000,,,,,40.0568,-75.0413,BUPREN,
"Dr. Kayode  Adunbarin, M.D.",,2227 East Venango Street,,Philadelphia,PA,19134,,PHILADELPHIA,215-437-7478,,,,,39.9956,-75.0987,BUPREN,
"Dr. George E. Woody, M.D.",,"150 South Independence Mall, West","Suite 600, Public Ledger Building",Philadelphia,PA,19106,,PHILADELPHIA,215-399-0980,,,,,39.9494,-75.1458,BUPREN,
"Dr. Vincent  Renzi, M.D.",,1900 South Broad Street,,Philadelphia,PA,19145,,PHILADELPHIA,856-234-2828,,,,,39.9267,-75.1696,BUPREN,
"Dr. Telisha  Ortiz, M.D.",,1444 W. Passyunk Ave.,,Philadelphia,PA,19145,,PHILADELPHIA,215-977-4820,,,,,39.925,-75.1711,BUPREN,
"Dr. Neil Randolph Cohn, M.D.",,715 South 6th Street,,Philadelphia,PA,19147,,PHILADELPHIA,267-241-6880,,,,,39.9407,-75.1524,BUPREN,
"Dr. Monika  VanSant, M.D.",,901 East Passyunk Avenue,,Philadelphia,PA,19147,,PHILADELPHIA,215-551-0200,,,,,39.9377,-75.1537,BUPREN,
"Dr. James Charles Volpe, D.O.",,1337 South 9th Street,,Philadelphia,PA,19147,,PHILADELPHIA,215-465-5491,,,,,39.932,-75.1592,BUPREN,
" Richard  Strulson, ",,3152 Princeton Avenue,,Philadelphia,PA,19149,,PHILADELPHIA,215-624-0956,,,,,40.0374,-75.0505,BUPREN,
"Dr. Joseph J. Renzi, D.O.",,1324 Ritner Street,,Philadelphia,PA,19148,,PHILADELPHIA,267-773-7311,,,,,39.9203,-75.1693,BUPREN,
"Dr. Catherine  Maturo, D.O.",,1732 Broad Street,,Philadelphia,PA,19145,,PHILADELPHIA,215-755-7595,,,,,39.9136,-75.1724,BUPREN,
" Jessica  O'Driscoll, NP",,7335 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-335-1220,,,,,40.037,-75.0393,BUPREN,
"Dr. Neil J. Mallis, M.D.",,7335 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-335-1220,,,,,40.037,-75.0393,BUPREN,
"Dr. Murray  Brand, D.O.",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
" Marc  Garfield, ",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
"Dr. Bennett S. Kugler, D.O.",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
"Dr. James Charles Volpe, D.O.",,7044 Torresdale,,Philadelphia,PA,19135,,PHILADELPHIA,215-465-5491,,,,,40.0282,-75.0393,BUPREN,
"Dr. Alberto J. Larrieu, M.D.",,3333 Comly Road,Unit # 23,Philadelphia,PA,19154,,PHILADELPHIA,215-637-7849,,,,,40.0888,-74.9822,BUPREN,
"Dr. Neal Ira Mermelstein, D.O.",,7439 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-333-9484,,,,,40.042,-75.0206,BUPREN,
"Dr. Brian Kenneth Stein, D.O.",,3790 Morrell Avenue,,Philadelphia,PA,19114,,PHILADELPHIA,215-637-6901,,,,,40.0649,-74.9873,BUPREN,
